2024-12-30 01:51:21 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /help from 1196376478
2024-12-30 01:51:30 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 01:51:45 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 01:51:56 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 01:52:00 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 01:52:09 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 01:52:16 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 01:52:26 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 01:52:32 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 01:52:35 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 02:02:56 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /start from 1196376478
2024-12-30 02:02:57 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /help from 1196376478
2024-12-30 02:03:00 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 02:03:03 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 02:06:24 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /help from 1196376478
2024-12-30 02:06:28 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 02:06:48 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 02:10:09 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /help from 1196376478
2024-12-30 02:10:12 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /start from 1196376478
2024-12-30 02:10:16 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 02:10:22 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 02:10:28 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 02:28:10 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 02:28:17 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 02:28:24 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 02:28:53 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 02:28:58 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 02:29:02 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 02:29:06 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 02:29:17 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 02:29:18 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 02:29:21 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 02:29:23 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
