2024-08-07 17:17:05 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /search from 1196376478
2024-08-07 17:17:21 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:17:23 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /next from 5841323814
2024-08-07 17:17:34 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:17:36 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:17:37 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:17:49 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:17:56 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:18:00 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:18:03 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:18:22 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:18:51 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:18:58 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:19:49 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:20:23 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:20:25 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:20:26 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:21:30 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /start from 1148467099
2024-08-07 17:21:32 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /start from 1148467099
2024-08-07 17:21:42 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /search from 1148467099
2024-08-07 17:22:06 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /search from 2096966371
2024-08-07 17:22:12 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:22:16 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:22:26 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /next from 1196376478
2024-08-07 17:22:40 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:22:41 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:23:58 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:24:04 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:25:07 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:26:16 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /next from 1148467099
2024-08-07 17:26:27 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:26:28 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:26:32 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:26:45 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /next from 1148467099
2024-08-07 17:27:32 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /next from 1148467099
2024-08-07 17:27:42 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /stop from 1148467099
